0.2,825,124.86
0.4,852,119.19
0.6,583,112.46
0.8,453,107.44
1.0,106,95.79
0.2,887,127.37
0.4,835,120.83
0.6,655,114.23
0.8,434,107.99
1.0,126,96.67
0.2,844,129.04
0.4,824,121.4
0.6,618,114.1
0.8,437,108.15
1.0,124,97.6
0.2,887,130.59
0.4,939,123.89
0.6,639,116.26
0.8,438,110.05
1.0,100,97.88
0.2,856,132.53
0.4,956,126.75
0.6,635,117.11
0.8,505,110.71
1.0,104,98.42
0.2,835,135.98
0.4,909,127.66
0.6,600,118.27
0.8,466,112.3
1.0,92,97.7
0.2,870,134.91
0.4,875,128.17
0.6,673,119.42
0.8,453,112.48
1.0,121,98.41
0.2,926,135.09
0.4,893,128.06
0.6,639,120.45
0.8,501,113.64
1.0,125,98.14
0.2,817,137.19
0.4,899,130.15
0.6,660,120.99
0.8,487,114.15
1.0,139,97.91
0.2,858,134.54
0.4,891,129.86
0.6,607,119.65
0.8,491,114.54
1.0,156,99.38
