0.2,822,134.32
0.4,930,128.81
0.6,655,119.73
0.8,467,114.0
1.0,160,97.37
0.2,863,134.62
0.4,908,128.49
0.6,652,120.4
0.8,462,113.93
1.0,124,97.11
0.2,808,134.27
0.4,894,128.25
0.6,601,120.15
0.8,497,112.8
1.0,115,96.19
0.2,845,135.68
0.4,867,130.05
0.6,585,119.23
0.8,439,113.63
1.0,122,97.06
0.2,892,134.07
0.4,863,128.53
0.6,612,118.91
0.8,465,113.96
1.0,118,96.71
0.2,853,134.38
0.4,883,128.9
0.6,622,119.81
0.8,440,114.33
1.0,106,95.14
0.2,863,134.38
0.4,876,128.8
0.6,611,119.89
0.8,452,113.82
1.0,93,93.68
0.2,777,133.85
0.4,861,128.52
0.6,618,119.45
0.8,483,113.61
1.0,84,93.26
0.2,833,133.47
0.4,894,129.45
0.6,674,119.37
0.8,484,114.19
1.0,122,95.22
0.2,845,133.94
0.4,896,129.0
0.6,619,119.68
0.8,466,113.49
1.0,161,98.55
